status,name,ocr_score,source,row,column,raw_text,label_box,crop_box,output
written,木兰坠露,0.997895,C:\MaaY\tools\analytics\bag-items-sample-2.png,3,1,木兰坠露,"[78, 796, 78, 24]","[83, 700, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\木兰坠露-bag.png
written,霸王泪,0.997618,C:\MaaY\tools\analytics\bag-items-sample-2.png,3,2,霸王泪,"[255, 796, 59, 25]","[251, 700, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\霸王泪-bag.png
written,宝石镜,0.995867,C:\MaaY\tools\analytics\bag-items-sample-2.png,3,3,宝石镜,"[423, 796, 61, 25]","[419, 700, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\宝石镜-bag.png
written,鎏金镜,0.994723,C:\MaaY\tools\analytics\bag-items-sample-2.png,3,4,鎏金镜,"[592, 796, 61, 25]","[587, 700, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\鎏金镜-bag.png
written,羽扇,0.997947,C:\MaaY\tools\analytics\bag-items-sample-2.png,4,1,羽扇,"[96, 985, 40, 24]","[83, 889, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\羽扇-bag.png
written,金丝扇,0.993905,C:\MaaY\tools\analytics\bag-items-sample-2.png,4,2,金丝扇,"[256, 986, 57, 22]","[251, 890, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\金丝扇-bag.png
written,灵山泉,0.999611,C:\MaaY\tools\analytics\bag-items-sample-2.png,4,3,灵山泉,"[425, 986, 58, 22]","[419, 890, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\灵山泉-bag.png
written,百末旨酒,0.999813,C:\MaaY\tools\analytics\bag-items-sample-2.png,4,4,百末旨酒,"[584, 985, 79, 24]","[587, 889, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\百末旨酒-bag.png
written,六博镜,0.99253,C:\MaaY\tools\analytics\bag-items-sample-3.png,1,1,六博镜,"[86, 414, 60, 25]","[83, 318, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\六博镜-bag.png
written,铜镜,0.988229,C:\MaaY\tools\analytics\bag-items-sample-3.png,1,2,铜镜,"[265, 413, 42, 27]","[251, 317, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\铜镜-bag.png
written,翠扇,0.999613,C:\MaaY\tools\analytics\bag-items-sample-3.png,1,3,翠扇,"[433, 413, 42, 27]","[419, 317, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\翠扇-bag.png
written,绢扇,0.996692,C:\MaaY\tools\analytics\bag-items-sample-3.png,1,4,绢扇,"[601, 413, 43, 27]","[587, 317, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\绢扇-bag.png
written,清酒,0.999697,C:\MaaY\tools\analytics\bag-items-sample-3.png,2,1,清酒,"[95, 602, 43, 27]","[83, 506, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\清酒-bag.png
written,浊酒,0.999698,C:\MaaY\tools\analytics\bag-items-sample-3.png,2,2,浊酒,"[265, 602, 42, 27]","[251, 506, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\浊酒-bag.png
written,解殃瓶,0.99992,C:\MaaY\tools\analytics\bag-items-sample-3.png,2,3,解殃瓶,"[425, 603, 58, 22]","[419, 507, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\解殃瓶-bag.png
written,功过格,0.999943,C:\MaaY\tools\analytics\bag-items-sample-3.png,2,4,功过格,"[593, 604, 59, 22]","[587, 508, 70, 58]",C:\MaaY\tools\analytics\bag-items-extracted\功过格-bag.png
